AssetType,Year,Growth
Hides ,1995,1.50%
Hides ,1996,-0.90%
Hides ,1997,1.10%
Hides ,1998,-13.10%
Hides ,1999,-5.90%
Hides ,2000,11.20%
Hides ,2001,5.50%
Hides ,2002,-4.60%
Hides ,2003,-15.40%
Hides ,2004,-1.70%
Hides ,2005,-2.20%
Hides ,2006,5.00%
Hides ,2007,4.70%
Hides ,2008,-11.10%
Hides ,2009,-30.00%
Hides ,2010,60.40%
Hides ,2011,14.00%
Hides ,2012,1.40%
Hides ,2013,13.90%
Hides ,2014,16.40%
Hides ,2015,-20.40%
Hides ,2016,-15.50%
"Coffee, Robustas ",1980,0.00%
"Coffee, Robustas ",1981,-30.10%
"Coffee, Robustas ",1982,7.90%
"Coffee, Robustas ",1983,11.80%
"Coffee, Robustas ",1984,11.30%
"Coffee, Robustas ",1985,-12.30%
"Coffee, Robustas ",1986,22.30%
"Coffee, Robustas ",1987,-31.00%
"Coffee, Robustas ",1988,-7.10%
"Coffee, Robustas ",1989,-20.40%
"Coffee, Robustas ",1990,-27.40%
"Coffee, Robustas ",1991,-9.40%
"Coffee, Robustas ",1992,-12.50%
"Coffee, Robustas ",1993,22.60%
"Coffee, Robustas ",1994,124.00%
"Coffee, Robustas ",1995,5.90%
"Coffee, Robustas ",1996,-34.70%
"Coffee, Robustas ",1997,-2.60%
"Coffee, Robustas ",1998,4.00%
"Coffee, Robustas ",1999,-19.40%
"Coffee, Robustas ",2000,-37.70%
"Coffee, Robustas ",2001,-35.20%
"Coffee, Robustas ",2002,12.80%
"Coffee, Robustas ",2003,24.50%
"Coffee, Robustas ",2004,-2.90%
"Coffee, Robustas ",2005,43.20%
"Coffee, Robustas ",2006,31.70%
"Coffee, Robustas ",2007,25.60%
"Coffee, Robustas ",2008,20.30%
"Coffee, Robustas ",2009,-27.40%
"Coffee, Robustas ",2010,9.00%
"Coffee, Robustas ",2011,37.90%
"Coffee, Robustas ",2012,-4.60%
"Coffee, Robustas ",2013,-9.10%
"Coffee, Robustas ",2014,5.00%
"Coffee, Robustas ",2015,-10.80%
"Coffee, Robustas ",2016,0.10%
APSP Crude Index,1980,0.00%
APSP Crude Index,1981,-4.00%
APSP Crude Index,1982,-8.60%
APSP Crude Index,1983,-9.30%
APSP Crude Index,1984,-3.60%
APSP Crude Index,1985,-4.10%
APSP Crude Index,1986,-48.30%
APSP Crude Index,1987,28.50%
APSP Crude Index,1988,-18.90%
APSP Crude Index,1989,21.10%
APSP Crude Index,1990,28.50%
APSP Crude Index,1991,-15.90%
APSP Crude Index,1992,-1.50%
APSP Crude Index,1993,-11.90%
APSP Crude Index,1994,-4.80%
APSP Crude Index,1995,7.90%
APSP Crude Index,1996,18.30%
APSP Crude Index,1997,-5.30%
APSP Crude Index,1998,-32.20%
APSP Crude Index,1999,37.70%
APSP Crude Index,2000,56.90%
APSP Crude Index,2001,-13.80%
